KENWETLAND,AREA,PERIMETER,WETLANDS_,WETLANDS_I,CLASS,CLASSTX,NAME,DESCRIP,geometry
1,0.054714,2.17008,2,1,FWM,Fresh water marsh,Lotokipi Plains,IFA/Endorheic. Ext into Sudan (=QJ 0001),"POLYGON ((34.80365 4.61471, 34.80599 4.614713, 34.83529 4.614747, 34.93425 4.614851, 34.93425 4.614851, 34.93808 4.614583, 34.96038 4.613017, 34.96131 4.613316, 34.96642 4.614952, 34.96846 4.615069, 34.96887 4.612509, 34.97092 4.607448, 34.97319 4.602154, 34.97525 4.596863, 34.97798 4.591798, 34.98072 4.586275, 34.98322 4.580521, 34.98527 4.575229, 34.98732 4.570168, 34.98937 4.565105, 34.99165 4.559813, 34.99301 4.554062, 34.99459 4.547853, 34.99504 4.542337, 34.99479 4.536822, 34.99385 4.530851, 34.99291 4.524649, 34.99289 4.518675, 34.99219 4.513163, 34.99125 4.507651, 34.98916 4.502372, 34.98639 4.497556, 34.98317 4.49297, 34.97993 4.488155, 34.97717 4.48288, 34.97486 4.477602, 34.973 4.471632, 34.97206 4.465431, 34.97205 4.459687, 34.97295 4.454168, 34.97476 4.448418, 34.97727 4.443354, 34.98024 4.438518, 34.98343 4.433452, 34.9864 4.428617, 34.98937 4.423551, 34.99187 4.418717, 34.99484 4.413652, 34.99735 4.408128, 34.99825 4.402611, 34.99915 4.397092, 34.99913 4.391347, 34.99865 4.385374, 34.99725 4.379633, 34.99471 4.374816, 34.99126 4.370232, 34.98826 4.365186, 34.98549 4.360139, 34.98341 4.355091, 34.98178 4.34981, 34.98085 4.344298, 34.97992 4.338786, 34.98013 4.33327, 34.9808 4.327753, 34.98078 4.322008, 34.98122 4.316262, 34.98074 4.310518, 34.98072 4.304772, 34.98001 4.2988, 34.97977 4.292367, 34.97929 4.286394, 34.97904 4.280879, 34.97879 4.274905, 34.97854 4.269161, 34.97738 4.26342, 34.97575 4.25768, 34.97367 4.252401, 34.97067 4.247815, 34.96722 4.243001, 34.9633 4.239107, 34.95916 4.234983, 34.95524 4.23086, 34.95042 4.227659, 34.94604 4.223077, 34.94144 4.219414, 34.93798 4.215059, 34.93454 4.210705, 34.93084 4.205431, 34.92808 4.200154, 34.92645 4.194644, 34.9246 4.188905, 34.92274 4.183396, 34.92135 4.177655, 34.91973 4.172145, 34.91423 4.172163, 34.91194 4.177685, 34.91013 4.183666, 34.90831 4.189188, 34.90672 4.194707, 34.90536 4.200227, 34.90378 4.206437, 34.90334 4.212183, 34.90404 4.217697, 34.9059 4.223666, 34.90866 4.228942, 34.91258 4.233066, 34.91741 4.237186, 34.92201 4.241078, 34.92455 4.246126, 34.92641 4.252095, 34.92734 4.258067, 34.92897 4.263807, 34.92968 4.26932, 34.93061 4.274832, 34.93177 4.280343, 34.93316 4.285854, 34.93479 4.291824, 34.93527 4.297568, 34.9346 4.303314, 34.93118 4.308152, 34.92751 4.3123, 34.92294 4.315531, 34.91766 4.317158, 34.91285 4.319701, 34.90804 4.322933, 34.90324 4.325936, 34.89866 4.329168, 34.89431 4.332628, 34.88996 4.336319, 34.88631 4.341156, 34.88426 4.346219, 34.88267 4.351969, 34.88153 4.357947, 34.88018 4.363467, 34.87882 4.369675, 34.87769 4.375194, 34.87703 4.381631, 34.87658 4.387148, 34.87637 4.393353, 34.87593 4.398869, 34.87526 4.405076, 34.87412 4.410594, 34.8714 4.415888, 34.86727 4.419808, 34.86269 4.423039, 34.85766 4.426272, 34.85239 4.429047, 34.84711 4.431591, 34.84161 4.433217, 34.84161 4.433217, 34.8361 4.432085, 34.83196 4.428191, 34.82803 4.42085, 34.8271 4.415108, 34.8264 4.409364, 34.82477 4.403625, 34.8236 4.397884, 34.82198 4.391914, 34.82059 4.385944, 34.81919 4.380433, 34.8178 4.374922, 34.8164 4.368951, 34.81546 4.363439, 34.81453 4.357697, 34.81543 4.351949, 34.81588 4.345973, 34.81723 4.340224, 34.81813 4.334476, 34.81996 4.329185, 34.82177 4.323204, 34.8229 4.316996, 34.82357 4.311479, 34.82493 4.30596, 34.82606 4.299521, 34.82695 4.293314, 34.82763 4.287796, 34.82807 4.28205, 34.82851 4.276074, 34.82849 4.26987, 34.82778 4.264127, 34.8273 4.258383, 34.82591 4.252872, 34.82498 4.2469, 34.82313 4.24139, 34.82082 4.236342, 34.81896 4.230372, 34.81711 4.223714, 34.81687 4.2182, 34.81776 4.211992, 34.81889 4.206014, 34.82093 4.200722, 34.82391 4.196116, 34.82733 4.19151, 34.83099 4.186903, 34.83488 4.182065, 34.83715 4.176542, 34.83897 4.171021, 34.84056 4.165731, 34.84146 4.159983, 34.84168 4.154467, 34.84119 4.148724, 34.83888 4.143445, 34.83429 4.140472, 34.82855 4.14072, 34.82328 4.142115, 34.81802 4.144429, 34.81298 4.146513, 34.80794 4.148827, 34.80405 4.153434, 34.80108 4.15827, 34.79926 4.16402, 34.79721 4.169541, 34.79539 4.175522, 34.7945 4.18127, 34.79382 4.187477, 34.79316 4.193684, 34.79318 4.199429, 34.7932 4.205173, 34.79367 4.211377, 34.79437 4.216889, 34.79576 4.222171, 34.79693 4.228143, 34.79856 4.233883, 34.79972 4.239625, 34.79537 4.243314, 34.79537 4.243314, 34.79055 4.240111, 34.78549 4.237599, 34.77952 4.236468, 34.77378 4.236256, 34.76967 4.240175, 34.76808 4.245465, 34.76832 4.25144, 34.77086 4.256487, 34.77363 4.261765, 34.77731 4.26612, 34.78077 4.270936, 34.78423 4.275751, 34.78791 4.280795, 34.79137 4.28561, 34.79436 4.290427, 34.79645 4.296165, 34.79807 4.301676, 34.79877 4.307189, 34.79948 4.312932, 34.7995 4.318906, 34.79883 4.324423, 34.79885 4.330399, 34.79817 4.336146, 34.79819 4.34166, 34.79753 4.347868, 34.79731 4.354303, 34.79802 4.360045, 34.79895 4.366247, 34.80058 4.372447, 34.80197 4.377728, 34.80382 4.383008, 34.80567 4.388517, 34.80776 4.394256, 34.80916 4.399996, 34.80894 4.405972, 34.80781 4.41172, 34.80576 4.417012, 34.80118 4.420013, 34.79545 4.422328, 34.79065 4.425101, 34.78537 4.427415, 34.78079 4.431336, 34.77943 4.436625, 34.77853 4.442373, 34.77969 4.448114, 34.78224 4.452932, 34.78455 4.45821, 34.7848 4.463955, 34.78504 4.46947, 34.78621 4.47521, 34.78897 4.480258, 34.7922 4.485073, 34.79543 4.490119, 34.79797 4.494936, 34.80029 4.501134, 34.80144 4.506876, 34.80054 4.512393, 34.79941 4.517912, 34.79806 4.523201, 34.79876 4.528944, 34.8013 4.533762, 34.80476 4.538347, 34.8089 4.5427, 34.81282 4.547284, 34.81512 4.552563, 34.81606 4.558304, 34.81562 4.564281, 34.81426 4.5698, 34.81267 4.575319, 34.81108 4.58084, 34.80949 4.586129, 34.80836 4.591648, 34.80677 4.597398, 34.80541 4.603147, 34.8045 4.608665, 34.80394 4.613396, 34.80365 4.61471), (34.93593 4.35962, 34.94143 4.360291, 34.94649 4.362343, 34.94949 4.367619, 34.95089 4.372899, 34.95136 4.378643, 34.95138 4.384847, 34.95163 4.391051, 34.95234 4.396793, 34.95236 4.402538, 34.95168 4.408286, 34.95101 4.414033, 34.94943 4.419783, 34.94761 4.425534, 34.94601 4.430825, 34.94443 4.436115, 34.94261 4.441866, 34.9408 4.447617, 34.93897 4.453368, 34.93716 4.458889, 34.93465 4.463722, 34.93169 4.469017, 34.92826 4.473854, 34.92575 4.479147, 34.92393 4.485128, 34.92027 4.489735, 34.91523 4.492509, 34.9095 4.492757, 34.9095 4.492757, 34.90376 4.492546, 34.90123 4.489567, 34.89846 4.48475, 34.89729 4.479239, 34.8959 4.473728, 34.89519 4.468215, 34.89471 4.462012, 34.89446 4.455579, 34.89468 4.449833, 34.89489 4.443857, 34.89532 4.43811, 34.89554 4.432135, 34.89598 4.42662, 34.89688 4.420641, 34.89754 4.414435, 34.89753 4.40846, 34.89796 4.402713, 34.89933 4.396965, 34.9016 4.391212, 34.90434 4.386148, 34.90822 4.38108, 34.91211 4.376242, 34.91646 4.372091, 34.92057 4.367712, 34.92516 4.36402, 34.93019 4.360558, 34.93593 4.35962))"
2,0.002521,0.374192,3,2,FWM,Fresh water marsh,Lotokipi Plains,IFA/Endorheic. Ext into Sudan (=QJ 0002),"POLYGON ((34.59748 4.612929, 34.60023 4.612955, 34.60049 4.612535, 34.60138 4.611334, 34.60504 4.606497, 34.6087 4.601662, 34.61282 4.597284, 34.61694 4.593136, 34.62175 4.590594, 34.62656 4.587594, 34.63207 4.5862, 34.63734 4.584805, 34.6433 4.583179, 34.64812 4.580638, 34.6527 4.576949, 34.65544 4.571885, 34.65703 4.566595, 34.65908 4.560845, 34.6609 4.555094, 34.66111 4.549348, 34.66087 4.543604, 34.65856 4.538556, 34.65533 4.53374, 34.65073 4.530077, 34.64522 4.529403, 34.64133 4.533551, 34.6395 4.538841, 34.63837 4.544359, 34.63702 4.550337, 34.63588 4.556775, 34.6336 4.561837, 34.63133 4.567588, 34.62836 4.572423, 34.62631 4.577484, 34.62242 4.582321, 34.61876 4.586467, 34.61463 4.590156, 34.60959 4.592468, 34.60408 4.594091, 34.59835 4.595487, 34.59216 4.596423, 34.58665 4.597128, 34.58114 4.597144, 34.57563 4.597618, 34.57013 4.597863, 34.57013 4.597863, 34.56462 4.597649, 34.5591 4.597205, 34.5536 4.596531, 34.54833 4.598154, 34.54305 4.599547, 34.53755 4.60163, 34.53227 4.603942, 34.52677 4.606026, 34.52196 4.609945, 34.52092 4.611596, 34.51986 4.612659, 34.52094 4.612669, 34.54631 4.612907, 34.54631 4.612907, 34.55209 4.612027, 34.56065 4.610723, 34.5686 4.612247, 34.57084 4.612676, 34.58304 4.612792, 34.59748 4.612929))"
3,9.3e-05,0.064915,4,3,LAK,Lake,Lake Turkana,Natural Endorheic Lake.  Extends into Kenya (=PT 0100),"POLYGON ((35.95215 4.540372, 35.95078 4.54179, 35.9531 4.547586, 35.95317 4.548891, 35.95361 4.55389, 35.95519 4.56088, 35.95623 4.564352, 35.95693 4.566669, 35.96078 4.562824, 35.95378 4.543073, 35.95533 4.537083, 35.95215 4.540372))"
